Tracking Number,Sent,Origin city (original),Origin city (used),Origin country,Origin Lat,Origin Long,Received,Destination city (original),Destination (used),Destination country,Destination Lat,Destination Long
655674653620,02/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,06/02/2016,SINGAPORE 02-02,SINGAPORE,SG,1.28967,103.85007
655674653674,02/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,05/02/2016,VOUVRY,VOUVRY,CH,46.33746,6.8895
655674653906,03/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,10/02/2016,SODVIK,OSLO,NO,59.91273,10.74609
655674653788,03/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,05/02/2016,HAMBURG,HAMBURG,DE,53.57532,10.01534
655674653733,02/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,06/02/2016,MELAKA,KUALA LUMPUR,MY,3.1412,101.68653
655674653777,03/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,05/02/2016,CO OFFALY,DUBLIN,IE,53.33306,-6.24889
655674653836,03/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,10/02/2016,CORRALEJO,CORRALEJO,ES,28.73079,-13.86749
655674653799,03/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,08/02/2016,CORK,CORK,IE,51.89797,-8.47061
655674653814,03/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,05/02/2016,HILDESHEIM,HILDESHEIM,DE,52.15077,9.95112
655674653928,03/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,05/02/2016,SOMMELSVIJK,AMSTERDAM,NL,52.37403,4.88969
782304347488,05/02/2016,POMONA,POMONA,US,39.47845,-74.57516,11/02/2016,AL MANAMA,MANAMA,BH,26.22787,50.58565
782330170856,08/02/2016,PORTSMOUTH,PORTSMOUTH,US,15.58333,-61.46667,10/02/2016,"ABINDGON,OXFORDSHIRE",LONDON,GB,51.50853,-0.12574
655674654122,05/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,10/02/2016,TALLINN,TALLINN,EE,59.43696,24.75353
782320226450,05/02/2016,POMONA,POMONA,US,39.47845,-74.57516,08/02/2016,LOUGHTON,LOUGHTON,GB,52.03037,-0.78642
782319248083,05/02/2016,POMONA,POMONA,US,39.47845,-74.57516,08/02/2016,HAMBURG,HAMBURG,DE,53.57532,10.01534
655674654247,08/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/02/2016,WAALWIJK,WAALWIJK,NL,51.6825,5.07083
655674654236,08/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,10/02/2016,SOMMELSVIJK,AMSTERDAM,NL,52.37403,4.88969
782319041315,05/02/2016,POMONA,POMONA,US,39.47845,-74.57516,08/02/2016,HAMBURG,HAMBURG,DE,53.57532,10.01534
775615087123,10/02/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,11/02/2016,HILDESHEIM,HILDESHEIM,DE,52.15077,9.95112
775614188181,10/02/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,11/02/2016,EL AEROPORT DEL PRAT,MADRID,ES,40.4165,-3.70256
775561679676,03/02/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,05/02/2016,HILDESHEIM,HILDESHEIM,DE,52.15077,9.95112
655674654269,09/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/02/2016,HAMBURG,HAMBURG,DE,53.57532,10.01534
775614177390,10/02/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,11/02/2016,REINBEK,REINBEK,DE,53.51703,10.2488
775589351634,05/02/2016,IRVINE,IRVINE,US,0,0,10/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016
775611022900,09/02/2016,LANSDALE,LANSDALE,US,40.2415,-75.28379,11/02/2016,ABINGDON,ABINGDON,GB,51.67109,-1.28278
782318300497,05/02/2016,POMONA,POMONA,US,39.47845,-74.57516,08/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016
782318600083,05/02/2016,POMONA,POMONA,US,39.47845,-74.57516,08/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016
782317202480,05/02/2016,POMONA,POMONA,US,39.47845,-74.57516,08/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016
655674653940,04/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,08/02/2016,DUBLIN,DUBLIN,IE,53.33306,-6.24889
655674653696,02/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,08/02/2016,TABY,TABY,SE,59.4439,18.06872
655674653538,01/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/02/2016,SANTO DOMINGO,SANTO DOMINGO,DO,6.47282,-75.16547
655674653917,03/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/02/2016,MADRID,MADRID,ES,4.73245,-74.26419
655674653950,04/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/02/2016,THE NETHERLANDS,AMSTERDAM,NL,52.37403,4.88969
655674654111,05/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/02/2016,BERGEN,BERGEN,NO,52.80837,9.96374
655674654225,08/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/02/2016,BRASSCHAAT,BRASSCHAAT,BE,51.2912,4.49182
655674653972,04/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,10/02/2016,SINGAPORE,SINGAPORE,SG,1.28967,103.85007
776915757168,04/08/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,05/08/2016,POMONA,POMONA,US,39.47845,-74.57516
655674674308,05/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,10/08/2016,CADIZ,CADIZ,ES,36.52978,-6.29465
674096330094,05/08/2016,HANGZHOU,HANGZHOU,CN,30.29365,120.16142,10/08/2016,OXFORD,OXFORD,GB,45.73345,-63.86542
783758324819,05/08/2016,POMONA,POMONA,US,39.47845,-74.57516,08/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016
